1.0858 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
3.7772 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x159033B0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600, 1200]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.7772 	EXP 	window1: recordFrameIntervals = False
3.9434 	EXP 	window1: recordFrameIntervals = True
4.1268 	EXP 	window1: recordFrameIntervals = False
4.2662 	EXP 	Created start_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='start_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
4.3333 	EXP 	Created break_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='break_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
4.3371 	EXP 	Created fixation_cross = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixation_cross', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
4.3397 	EXP 	Created image = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
4.3676 	EXP 	Created rating_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='rating_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'1 = Not very much,  5 = Very much!', units=u'norm', win=Window(...), wrapWidth=1)
4.3777 	EXP 	Created question_text_display = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='question_text_display', opacity=1.0, ori=0, pos=array([ 0. ,  0.8]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
4.4062 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
4.4075 	EXP 	window1: blendMode = 'avg'
4.4100 	EXP 	start_text: autoDraw = True
4.4102 	EXP 	window1: blendMode = 'avg'
4.4270 	EXP 	window1: blendMode = 'avg'
4.4436 	EXP 	window1: blendMode = 'avg'
4.4603 	EXP 	window1: blendMode = 'avg'
4.4769 	EXP 	window1: blendMode = 'avg'
4.4936 	EXP 	window1: blendMode = 'avg'
4.5103 	EXP 	window1: blendMode = 'avg'
4.5269 	EXP 	window1: blendMode = 'avg'
4.5436 	EXP 	window1: blendMode = 'avg'
4.5602 	EXP 	window1: blendMode = 'avg'
4.5769 	EXP 	window1: blendMode = 'avg'
4.5936 	EXP 	window1: blendMode = 'avg'
4.6103 	EXP 	window1: blendMode = 'avg'
4.6269 	EXP 	window1: blendMode = 'avg'
4.6436 	EXP 	window1: blendMode = 'avg'
4.6603 	EXP 	window1: blendMode = 'avg'
4.6769 	EXP 	window1: blendMode = 'avg'
4.6936 	EXP 	window1: blendMode = 'avg'
4.7102 	EXP 	window1: blendMode = 'avg'
4.7269 	EXP 	window1: blendMode = 'avg'
4.7436 	EXP 	window1: blendMode = 'avg'
4.7602 	EXP 	window1: blendMode = 'avg'
4.7770 	EXP 	window1: blendMode = 'avg'
4.7936 	EXP 	window1: blendMode = 'avg'
4.8104 	EXP 	window1: blendMode = 'avg'
4.8270 	EXP 	window1: blendMode = 'avg'
4.8436 	EXP 	window1: blendMode = 'avg'
4.8607 	EXP 	window1: blendMode = 'avg'
4.8775 	EXP 	window1: blendMode = 'avg'
4.8938 	EXP 	window1: blendMode = 'avg'
4.9103 	EXP 	window1: blendMode = 'avg'
4.9270 	EXP 	window1: blendMode = 'avg'
4.9436 	EXP 	window1: blendMode = 'avg'
4.9605 	EXP 	window1: blendMode = 'avg'
4.9770 	EXP 	window1: blendMode = 'avg'
4.9936 	EXP 	window1: blendMode = 'avg'
5.0103 	EXP 	window1: blendMode = 'avg'
5.0269 	EXP 	window1: blendMode = 'avg'
5.0436 	EXP 	window1: blendMode = 'avg'
5.0603 	EXP 	window1: blendMode = 'avg'
5.0769 	EXP 	window1: blendMode = 'avg'
5.0936 	EXP 	window1: blendMode = 'avg'
5.1103 	EXP 	window1: blendMode = 'avg'
5.1269 	EXP 	window1: blendMode = 'avg'
5.1436 	EXP 	window1: blendMode = 'avg'
5.1603 	EXP 	window1: blendMode = 'avg'
5.1770 	EXP 	window1: blendMode = 'avg'
5.1936 	EXP 	window1: blendMode = 'avg'
5.2103 	EXP 	window1: blendMode = 'avg'
5.2270 	EXP 	window1: blendMode = 'avg'
5.2436 	EXP 	window1: blendMode = 'avg'
5.2604 	EXP 	window1: blendMode = 'avg'
5.2770 	EXP 	window1: blendMode = 'avg'
5.2936 	EXP 	window1: blendMode = 'avg'
5.3103 	EXP 	window1: blendMode = 'avg'
5.3269 	EXP 	window1: blendMode = 'avg'
5.3436 	EXP 	window1: blendMode = 'avg'
5.3602 	EXP 	window1: blendMode = 'avg'
5.3769 	EXP 	window1: blendMode = 'avg'
5.3936 	EXP 	window1: blendMode = 'avg'
5.4102 	EXP 	window1: blendMode = 'avg'
5.4270 	EXP 	window1: blendMode = 'avg'
5.4437 	EXP 	window1: blendMode = 'avg'
5.4603 	EXP 	window1: blendMode = 'avg'
5.4770 	EXP 	window1: blendMode = 'avg'
5.4937 	EXP 	window1: blendMode = 'avg'
5.5103 	EXP 	window1: blendMode = 'avg'
5.5270 	EXP 	window1: blendMode = 'avg'
5.5436 	EXP 	window1: blendMode = 'avg'
5.5602 	EXP 	window1: blendMode = 'avg'
5.5769 	EXP 	window1: blendMode = 'avg'
5.5936 	EXP 	window1: blendMode = 'avg'
5.6102 	EXP 	window1: blendMode = 'avg'
5.6269 	DATA 	Keypress: space
5.6343 	EXP 	Imported image_data.xlsx as conditions, 6 conditions, 1 params
5.6346 	EXP 	Created sequence: random, trialTypes=6, nReps=2, seed=None
5.6349 	EXP 	New trial (rep=0, index=0): {'image_path': u'images/5.jpg'}
5.6353 	EXP 	window1: blendMode = 'avg'
5.6433 	EXP 	start_text: autoDraw = False
5.6433 	EXP 	break_text: autoDraw = True
5.6433 	EXP 	break_text: autoDraw = False
5.6433 	EXP 	fixation_cross: autoDraw = True
5.6436 	EXP 	window1: blendMode = 'avg'
5.6602 	EXP 	window1: blendMode = 'avg'
5.6769 	EXP 	window1: blendMode = 'avg'
5.6936 	EXP 	window1: blendMode = 'avg'
5.7103 	EXP 	window1: blendMode = 'avg'
5.7269 	EXP 	window1: blendMode = 'avg'
5.7435 	EXP 	window1: blendMode = 'avg'
5.7602 	EXP 	window1: blendMode = 'avg'
5.7770 	EXP 	window1: blendMode = 'avg'
5.7936 	EXP 	window1: blendMode = 'avg'
5.8103 	EXP 	window1: blendMode = 'avg'
5.8270 	EXP 	window1: blendMode = 'avg'
5.8436 	EXP 	window1: blendMode = 'avg'
5.8602 	EXP 	window1: blendMode = 'avg'
5.8769 	EXP 	window1: blendMode = 'avg'
5.8935 	EXP 	window1: blendMode = 'avg'
5.9102 	EXP 	window1: blendMode = 'avg'
5.9269 	EXP 	window1: blendMode = 'avg'
5.9436 	EXP 	window1: blendMode = 'avg'
5.9602 	EXP 	window1: blendMode = 'avg'
5.9771 	EXP 	window1: blendMode = 'avg'
5.9936 	EXP 	window1: blendMode = 'avg'
6.0103 	EXP 	window1: blendMode = 'avg'
6.0269 	EXP 	window1: blendMode = 'avg'
6.0436 	EXP 	window1: blendMode = 'avg'
6.0603 	EXP 	window1: blendMode = 'avg'
6.0769 	EXP 	window1: blendMode = 'avg'
6.0935 	EXP 	window1: blendMode = 'avg'
6.1102 	EXP 	window1: blendMode = 'avg'
6.1269 	EXP 	window1: blendMode = 'avg'
6.1436 	EXP 	window1: blendMode = 'avg'
6.1602 	EXP 	window1: blendMode = 'avg'
6.1769 	EXP 	window1: blendMode = 'avg'
6.1936 	EXP 	window1: blendMode = 'avg'
6.2102 	EXP 	window1: blendMode = 'avg'
6.2269 	EXP 	window1: blendMode = 'avg'
6.2436 	EXP 	window1: blendMode = 'avg'
6.2602 	EXP 	window1: blendMode = 'avg'
6.2769 	EXP 	window1: blendMode = 'avg'
6.2936 	EXP 	window1: blendMode = 'avg'
6.3102 	EXP 	window1: blendMode = 'avg'
6.3269 	EXP 	window1: blendMode = 'avg'
6.3436 	EXP 	window1: blendMode = 'avg'
6.3602 	EXP 	window1: blendMode = 'avg'
6.3769 	EXP 	window1: blendMode = 'avg'
6.3936 	EXP 	window1: blendMode = 'avg'
6.4103 	EXP 	window1: blendMode = 'avg'
6.4269 	EXP 	window1: blendMode = 'avg'
6.4436 	EXP 	window1: blendMode = 'avg'
6.4602 	EXP 	window1: blendMode = 'avg'
6.4769 	EXP 	window1: blendMode = 'avg'
6.4936 	EXP 	window1: blendMode = 'avg'
6.5102 	EXP 	window1: blendMode = 'avg'
6.5269 	EXP 	window1: blendMode = 'avg'
6.5435 	EXP 	window1: blendMode = 'avg'
6.5602 	EXP 	window1: blendMode = 'avg'
6.5769 	EXP 	window1: blendMode = 'avg'
6.5936 	EXP 	window1: blendMode = 'avg'
6.6102 	EXP 	window1: blendMode = 'avg'
6.6600 	EXP 	fixation_cross: autoDraw = False
6.6600 	EXP 	fixation_cross: autoDraw = False
6.6600 	EXP 	image: size = array([ 0.5875,  0.54  ])
6.6600 	EXP 	image: image = u'images/5.jpg'
6.6600 	EXP 	image: autoDraw = True
9.6356 	EXP 	Imported question_data.xlsx as conditions, 3 conditions, 1 params
9.6359 	EXP 	Created sequence: sequential, trialTypes=3, nReps=1, seed=None
9.6362 	EXP 	New trial (rep=0, index=0): {'question_text': u'How much did you like that image?'}
9.6585 	EXP 	window1: blendMode = 'avg'
9.6588 	EXP 	window1: blendMode = 'avg'
9.6600 	EXP 	image: autoDraw = False
9.6600 	EXP 	image: autoDraw = False
9.6600 	EXP 	question_text_display: text = u'How much did you like that image?'
9.6600 	EXP 	rating_text: autoDraw = True
9.6600 	EXP 	question_text_display: autoDraw = True
9.6603 	EXP 	window1: blendMode = 'avg'
9.6605 	EXP 	window1: blendMode = 'avg'
9.6771 	EXP 	window1: blendMode = 'avg'
9.6772 	EXP 	window1: blendMode = 'avg'
9.6937 	EXP 	window1: blendMode = 'avg'
9.6939 	EXP 	window1: blendMode = 'avg'
9.7104 	EXP 	window1: blendMode = 'avg'
9.7106 	EXP 	window1: blendMode = 'avg'
9.7269 	EXP 	window1: blendMode = 'avg'
9.7271 	EXP 	window1: blendMode = 'avg'
9.7436 	EXP 	window1: blendMode = 'avg'
9.7438 	EXP 	window1: blendMode = 'avg'
9.7603 	EXP 	window1: blendMode = 'avg'
9.7604 	EXP 	window1: blendMode = 'avg'
9.7770 	EXP 	window1: blendMode = 'avg'
9.7771 	EXP 	window1: blendMode = 'avg'
9.7936 	EXP 	window1: blendMode = 'avg'
9.7938 	EXP 	window1: blendMode = 'avg'
9.8103 	EXP 	window1: blendMode = 'avg'
9.8105 	EXP 	window1: blendMode = 'avg'
9.8270 	EXP 	window1: blendMode = 'avg'
9.8271 	EXP 	window1: blendMode = 'avg'
9.8436 	EXP 	window1: blendMode = 'avg'
9.8438 	EXP 	window1: blendMode = 'avg'
9.8603 	EXP 	window1: blendMode = 'avg'
9.8605 	EXP 	window1: blendMode = 'avg'
9.8770 	EXP 	window1: blendMode = 'avg'
9.8771 	EXP 	window1: blendMode = 'avg'
9.8937 	EXP 	window1: blendMode = 'avg'
9.8938 	EXP 	window1: blendMode = 'avg'
9.9103 	EXP 	window1: blendMode = 'avg'
9.9105 	EXP 	window1: blendMode = 'avg'
9.9270 	EXP 	window1: blendMode = 'avg'
9.9271 	EXP 	window1: blendMode = 'avg'
9.9436 	EXP 	window1: blendMode = 'avg'
9.9438 	EXP 	window1: blendMode = 'avg'
9.9603 	EXP 	window1: blendMode = 'avg'
9.9605 	EXP 	window1: blendMode = 'avg'
9.9772 	EXP 	window1: blendMode = 'avg'
9.9774 	EXP 	window1: blendMode = 'avg'
9.9937 	EXP 	window1: blendMode = 'avg'
