1.1486 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
4.1083 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x161A04D0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600, 1200]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.1083 	EXP 	window1: recordFrameIntervals = False
4.2745 	EXP 	window1: recordFrameIntervals = True
4.4579 	EXP 	window1: recordFrameIntervals = False
4.5719 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
4.5808 	EXP 	Created colour_title = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='colour_title', opacity=1.0, ori=0, pos=array([ 0. ,  0.9]), rgb=array([ 255.,  255.,  255.]), text=u'Colour =', units=u'norm', win=Window(...), wrapWidth=1)
4.5924 	EXP 	Created colour_text_obj = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='colour_text_obj', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
4.6012 	EXP 	Created fruit_title = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fruit_title', opacity=1.0, ori=0, pos=array([ 0. ,  0.9]), rgb=array([ 255.,  255.,  255.]), text=u'Fruit =', units=u'norm', win=Window(...), wrapWidth=1)
4.6113 	EXP 	Created fruit_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fruit_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
4.6218 	EXP 	Created combined_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='combined_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
4.6323 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'End of demo', units=u'norm', win=Window(...), wrapWidth=1)
4.6339 	EXP 	window1: blendMode = 'avg'
4.6411 	EXP 	text: autoDraw = True
4.6413 	EXP 	window1: blendMode = 'avg'
4.6580 	EXP 	window1: blendMode = 'avg'
4.6748 	EXP 	window1: blendMode = 'avg'
4.6914 	EXP 	window1: blendMode = 'avg'
4.7080 	EXP 	window1: blendMode = 'avg'
4.7247 	EXP 	window1: blendMode = 'avg'
4.7413 	EXP 	window1: blendMode = 'avg'
4.7581 	EXP 	window1: blendMode = 'avg'
4.7746 	EXP 	window1: blendMode = 'avg'
4.7913 	EXP 	window1: blendMode = 'avg'
4.8080 	EXP 	window1: blendMode = 'avg'
4.8246 	EXP 	window1: blendMode = 'avg'
4.8413 	EXP 	window1: blendMode = 'avg'
4.8582 	EXP 	window1: blendMode = 'avg'
4.8749 	EXP 	window1: blendMode = 'avg'
4.8916 	EXP 	window1: blendMode = 'avg'
4.9082 	EXP 	window1: blendMode = 'avg'
4.9247 	EXP 	window1: blendMode = 'avg'
4.9414 	EXP 	window1: blendMode = 'avg'
4.9580 	EXP 	window1: blendMode = 'avg'
4.9747 	EXP 	window1: blendMode = 'avg'
4.9913 	EXP 	window1: blendMode = 'avg'
5.0080 	EXP 	window1: blendMode = 'avg'
5.0247 	EXP 	window1: blendMode = 'avg'
5.0414 	EXP 	window1: blendMode = 'avg'
5.0579 	EXP 	window1: blendMode = 'avg'
5.0748 	EXP 	window1: blendMode = 'avg'
5.0913 	EXP 	window1: blendMode = 'avg'
5.1080 	EXP 	window1: blendMode = 'avg'
5.1247 	EXP 	window1: blendMode = 'avg'
5.1413 	EXP 	window1: blendMode = 'avg'
5.1579 	EXP 	window1: blendMode = 'avg'
5.1746 	EXP 	window1: blendMode = 'avg'
5.1913 	EXP 	window1: blendMode = 'avg'
5.2080 	EXP 	window1: blendMode = 'avg'
5.2247 	EXP 	window1: blendMode = 'avg'
5.2414 	EXP 	window1: blendMode = 'avg'
5.2581 	EXP 	window1: blendMode = 'avg'
5.2747 	EXP 	window1: blendMode = 'avg'
5.2913 	EXP 	window1: blendMode = 'avg'
5.3080 	EXP 	window1: blendMode = 'avg'
5.3247 	EXP 	window1: blendMode = 'avg'
5.3414 	EXP 	window1: blendMode = 'avg'
5.3582 	EXP 	window1: blendMode = 'avg'
5.3747 	EXP 	window1: blendMode = 'avg'
5.3914 	EXP 	window1: blendMode = 'avg'
5.4080 	EXP 	window1: blendMode = 'avg'
5.4247 	EXP 	window1: blendMode = 'avg'
5.4414 	EXP 	window1: blendMode = 'avg'
5.4580 	EXP 	window1: blendMode = 'avg'
5.4749 	EXP 	window1: blendMode = 'avg'
5.4914 	EXP 	window1: blendMode = 'avg'
5.5081 	EXP 	window1: blendMode = 'avg'
5.5248 	EXP 	window1: blendMode = 'avg'
5.5414 	EXP 	window1: blendMode = 'avg'
5.5580 	EXP 	window1: blendMode = 'avg'
5.5747 	EXP 	window1: blendMode = 'avg'
5.5914 	EXP 	window1: blendMode = 'avg'
5.6080 	EXP 	window1: blendMode = 'avg'
5.6247 	EXP 	window1: blendMode = 'avg'
5.6414 	EXP 	window1: blendMode = 'avg'
5.6580 	EXP 	window1: blendMode = 'avg'
5.6747 	EXP 	window1: blendMode = 'avg'
5.6914 	EXP 	window1: blendMode = 'avg'
5.7080 	EXP 	window1: blendMode = 'avg'
5.7247 	EXP 	window1: blendMode = 'avg'
5.7414 	EXP 	window1: blendMode = 'avg'
5.7580 	EXP 	window1: blendMode = 'avg'
5.7747 	EXP 	window1: blendMode = 'avg'
5.7914 	EXP 	window1: blendMode = 'avg'
5.8080 	EXP 	window1: blendMode = 'avg'
5.8247 	EXP 	window1: blendMode = 'avg'
5.8414 	EXP 	window1: blendMode = 'avg'
5.8580 	EXP 	window1: blendMode = 'avg'
5.8747 	EXP 	window1: blendMode = 'avg'
5.8914 	EXP 	window1: blendMode = 'avg'
5.9080 	EXP 	window1: blendMode = 'avg'
5.9247 	EXP 	window1: blendMode = 'avg'
5.9414 	EXP 	window1: blendMode = 'avg'
5.9580 	EXP 	window1: blendMode = 'avg'
5.9747 	EXP 	window1: blendMode = 'avg'
5.9913 	EXP 	window1: blendMode = 'avg'
6.0080 	EXP 	window1: blendMode = 'avg'
6.0247 	EXP 	window1: blendMode = 'avg'
6.0414 	EXP 	window1: blendMode = 'avg'
6.0580 	EXP 	window1: blendMode = 'avg'
6.0749 	EXP 	window1: blendMode = 'avg'
6.0914 	EXP 	window1: blendMode = 'avg'
6.1080 	EXP 	window1: blendMode = 'avg'
6.1247 	EXP 	window1: blendMode = 'avg'
6.1414 	EXP 	window1: blendMode = 'avg'
6.1580 	EXP 	window1: blendMode = 'avg'
6.1747 	EXP 	window1: blendMode = 'avg'
6.1914 	EXP 	window1: blendMode = 'avg'
6.2080 	EXP 	window1: blendMode = 'avg'
6.2247 	EXP 	window1: blendMode = 'avg'
6.2413 	EXP 	window1: blendMode = 'avg'
6.2580 	EXP 	window1: blendMode = 'avg'
6.2747 	EXP 	window1: blendMode = 'avg'
6.2914 	EXP 	window1: blendMode = 'avg'
6.3080 	EXP 	window1: blendMode = 'avg'
6.3247 	EXP 	window1: blendMode = 'avg'
6.3413 	EXP 	window1: blendMode = 'avg'
6.3582 	EXP 	window1: blendMode = 'avg'
6.3747 	EXP 	window1: blendMode = 'avg'
6.3914 	EXP 	window1: blendMode = 'avg'
6.4080 	EXP 	window1: blendMode = 'avg'
6.4246 	EXP 	window1: blendMode = 'avg'
6.4413 	EXP 	window1: blendMode = 'avg'
6.4581 	EXP 	window1: blendMode = 'avg'
6.4747 	EXP 	window1: blendMode = 'avg'
6.4914 	EXP 	window1: blendMode = 'avg'
6.5081 	EXP 	window1: blendMode = 'avg'
6.5247 	EXP 	window1: blendMode = 'avg'
6.5414 	EXP 	window1: blendMode = 'avg'
6.5580 	EXP 	window1: blendMode = 'avg'
6.5747 	EXP 	window1: blendMode = 'avg'
6.5914 	EXP 	window1: blendMode = 'avg'
6.6081 	EXP 	window1: blendMode = 'avg'
6.6247 	EXP 	window1: blendMode = 'avg'
6.6414 	EXP 	window1: blendMode = 'avg'
6.6581 	EXP 	window1: blendMode = 'avg'
6.6747 	EXP 	window1: blendMode = 'avg'
6.6914 	EXP 	window1: blendMode = 'avg'
6.7081 	EXP 	window1: blendMode = 'avg'
6.7247 	EXP 	window1: blendMode = 'avg'
6.7414 	EXP 	window1: blendMode = 'avg'
6.7581 	EXP 	window1: blendMode = 'avg'
6.7747 	EXP 	window1: blendMode = 'avg'
6.7914 	EXP 	window1: blendMode = 'avg'
6.8080 	EXP 	window1: blendMode = 'avg'
6.8247 	EXP 	window1: blendMode = 'avg'
6.8413 	EXP 	window1: blendMode = 'avg'
6.8581 	EXP 	window1: blendMode = 'avg'
6.8747 	EXP 	window1: blendMode = 'avg'
6.8914 	EXP 	window1: blendMode = 'avg'
6.9081 	EXP 	window1: blendMode = 'avg'
6.9247 	EXP 	window1: blendMode = 'avg'
6.9414 	EXP 	window1: blendMode = 'avg'
6.9581 	EXP 	window1: blendMode = 'avg'
6.9747 	EXP 	window1: blendMode = 'avg'
6.9914 	EXP 	window1: blendMode = 'avg'
7.0081 	EXP 	window1: blendMode = 'avg'
7.0247 	EXP 	window1: blendMode = 'avg'
7.0414 	EXP 	window1: blendMode = 'avg'
7.0581 	EXP 	window1: blendMode = 'avg'
7.0748 	EXP 	window1: blendMode = 'avg'
7.0914 	EXP 	window1: blendMode = 'avg'
7.1080 	EXP 	window1: blendMode = 'avg'
7.1247 	EXP 	window1: blendMode = 'avg'
7.1414 	EXP 	window1: blendMode = 'avg'
7.1581 	EXP 	window1: blendMode = 'avg'
7.1748 	EXP 	window1: blendMode = 'avg'
7.1914 	EXP 	window1: blendMode = 'avg'
7.2081 	EXP 	window1: blendMode = 'avg'
7.2247 	EXP 	window1: blendMode = 'avg'
7.2414 	EXP 	window1: blendMode = 'avg'
7.2581 	EXP 	window1: blendMode = 'avg'
7.2747 	EXP 	window1: blendMode = 'avg'
7.2914 	EXP 	window1: blendMode = 'avg'
7.3081 	EXP 	window1: blendMode = 'avg'
7.3247 	EXP 	window1: blendMode = 'avg'
7.3414 	EXP 	window1: blendMode = 'avg'
7.3582 	EXP 	window1: blendMode = 'avg'
7.3748 	EXP 	window1: blendMode = 'avg'
7.3914 	EXP 	window1: blendMode = 'avg'
7.4081 	EXP 	window1: blendMode = 'avg'
7.4247 	EXP 	window1: blendMode = 'avg'
7.4415 	EXP 	window1: blendMode = 'avg'
7.4581 	EXP 	window1: blendMode = 'avg'
7.4747 	EXP 	window1: blendMode = 'avg'
7.4914 	EXP 	window1: blendMode = 'avg'
7.5081 	EXP 	window1: blendMode = 'avg'
7.5247 	EXP 	window1: blendMode = 'avg'
7.5414 	EXP 	window1: blendMode = 'avg'
7.5581 	EXP 	window1: blendMode = 'avg'
7.5747 	EXP 	window1: blendMode = 'avg'
7.5914 	EXP 	window1: blendMode = 'avg'
7.6081 	EXP 	window1: blendMode = 'avg'
7.6247 	EXP 	window1: blendMode = 'avg'
7.6414 	EXP 	window1: blendMode = 'avg'
7.6581 	EXP 	window1: blendMode = 'avg'
7.6747 	EXP 	window1: blendMode = 'avg'
7.6914 	EXP 	window1: blendMode = 'avg'
7.7081 	EXP 	window1: blendMode = 'avg'
7.7247 	EXP 	window1: blendMode = 'avg'
7.7414 	EXP 	window1: blendMode = 'avg'
7.7580 	EXP 	window1: blendMode = 'avg'
7.7747 	EXP 	window1: blendMode = 'avg'
7.7914 	EXP 	window1: blendMode = 'avg'
7.8080 	EXP 	window1: blendMode = 'avg'
7.8247 	EXP 	window1: blendMode = 'avg'
7.8414 	EXP 	window1: blendMode = 'avg'
7.8580 	EXP 	window1: blendMode = 'avg'
7.8747 	EXP 	window1: blendMode = 'avg'
7.8914 	EXP 	window1: blendMode = 'avg'
7.9080 	EXP 	window1: blendMode = 'avg'
