1.0837 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
3.8132 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x1582F0D0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600, 1200]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.8132 	EXP 	window1: recordFrameIntervals = False
3.9794 	EXP 	window1: recordFrameIntervals = True
4.1629 	EXP 	window1: recordFrameIntervals = False
4.3346 	EXP 	Created intro_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='intro_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
4.3449 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
4.3582 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'End of experiment', units=u'norm', win=Window(...), wrapWidth=1)
4.3591 	EXP 	window1: blendMode = 'avg'
4.3626 	EXP 	intro_text: autoDraw = True
4.3631 	EXP 	window1: blendMode = 'avg'
4.3796 	EXP 	window1: blendMode = 'avg'
4.3962 	EXP 	window1: blendMode = 'avg'
4.4129 	EXP 	window1: blendMode = 'avg'
4.4296 	EXP 	window1: blendMode = 'avg'
4.4462 	EXP 	window1: blendMode = 'avg'
4.4629 	EXP 	window1: blendMode = 'avg'
4.4796 	EXP 	window1: blendMode = 'avg'
4.4962 	EXP 	window1: blendMode = 'avg'
4.5129 	EXP 	window1: blendMode = 'avg'
4.5296 	EXP 	window1: blendMode = 'avg'
4.5462 	EXP 	window1: blendMode = 'avg'
4.5629 	EXP 	window1: blendMode = 'avg'
4.5796 	EXP 	window1: blendMode = 'avg'
4.5962 	EXP 	window1: blendMode = 'avg'
4.6129 	EXP 	window1: blendMode = 'avg'
4.6295 	EXP 	window1: blendMode = 'avg'
4.6462 	EXP 	window1: blendMode = 'avg'
4.6629 	EXP 	window1: blendMode = 'avg'
4.6795 	EXP 	window1: blendMode = 'avg'
4.6963 	EXP 	window1: blendMode = 'avg'
4.7130 	EXP 	window1: blendMode = 'avg'
4.7296 	EXP 	window1: blendMode = 'avg'
4.7463 	EXP 	window1: blendMode = 'avg'
4.7629 	EXP 	window1: blendMode = 'avg'
4.7796 	EXP 	window1: blendMode = 'avg'
4.7963 	EXP 	window1: blendMode = 'avg'
4.8129 	EXP 	window1: blendMode = 'avg'
4.8298 	EXP 	window1: blendMode = 'avg'
4.8463 	EXP 	window1: blendMode = 'avg'
4.8632 	EXP 	window1: blendMode = 'avg'
4.8798 	EXP 	window1: blendMode = 'avg'
4.8964 	EXP 	window1: blendMode = 'avg'
4.9130 	EXP 	window1: blendMode = 'avg'
4.9296 	EXP 	window1: blendMode = 'avg'
4.9462 	EXP 	window1: blendMode = 'avg'
4.9629 	EXP 	window1: blendMode = 'avg'
4.9795 	EXP 	window1: blendMode = 'avg'
4.9962 	EXP 	window1: blendMode = 'avg'
5.0129 	EXP 	window1: blendMode = 'avg'
5.0296 	EXP 	window1: blendMode = 'avg'
5.0462 	EXP 	window1: blendMode = 'avg'
5.0629 	EXP 	window1: blendMode = 'avg'
5.0796 	EXP 	window1: blendMode = 'avg'
5.0962 	EXP 	window1: blendMode = 'avg'
5.1129 	EXP 	window1: blendMode = 'avg'
5.1296 	EXP 	window1: blendMode = 'avg'
5.1465 	EXP 	window1: blendMode = 'avg'
5.1629 	EXP 	window1: blendMode = 'avg'
5.1796 	EXP 	window1: blendMode = 'avg'
5.1962 	EXP 	window1: blendMode = 'avg'
5.2129 	EXP 	window1: blendMode = 'avg'
5.2296 	EXP 	window1: blendMode = 'avg'
5.2462 	EXP 	window1: blendMode = 'avg'
5.2629 	EXP 	window1: blendMode = 'avg'
5.2796 	EXP 	window1: blendMode = 'avg'
5.2962 	EXP 	window1: blendMode = 'avg'
5.3129 	EXP 	window1: blendMode = 'avg'
5.3297 	EXP 	window1: blendMode = 'avg'
5.3463 	EXP 	window1: blendMode = 'avg'
5.3630 	EXP 	window1: blendMode = 'avg'
5.3796 	EXP 	window1: blendMode = 'avg'
5.3963 	EXP 	window1: blendMode = 'avg'
5.4129 	EXP 	window1: blendMode = 'avg'
5.4296 	EXP 	window1: blendMode = 'avg'
5.4463 	EXP 	window1: blendMode = 'avg'
5.4630 	EXP 	window1: blendMode = 'avg'
5.4796 	EXP 	window1: blendMode = 'avg'
5.4964 	EXP 	window1: blendMode = 'avg'
5.5131 	EXP 	window1: blendMode = 'avg'
5.5297 	EXP 	window1: blendMode = 'avg'
5.5464 	EXP 	window1: blendMode = 'avg'
5.5631 	EXP 	window1: blendMode = 'avg'
5.5799 	EXP 	window1: blendMode = 'avg'
5.5965 	EXP 	window1: blendMode = 'avg'
5.6131 	EXP 	window1: blendMode = 'avg'
5.6298 	EXP 	window1: blendMode = 'avg'
5.6463 	EXP 	window1: blendMode = 'avg'
5.6630 	EXP 	window1: blendMode = 'avg'
5.6798 	EXP 	window1: blendMode = 'avg'
5.6964 	EXP 	window1: blendMode = 'avg'
5.7131 	EXP 	window1: blendMode = 'avg'
5.7298 	EXP 	window1: blendMode = 'avg'
5.7465 	EXP 	window1: blendMode = 'avg'
5.7631 	EXP 	window1: blendMode = 'avg'
5.7797 	EXP 	window1: blendMode = 'avg'
5.7963 	EXP 	window1: blendMode = 'avg'
5.8130 	EXP 	window1: blendMode = 'avg'
5.8298 	EXP 	window1: blendMode = 'avg'
5.8463 	EXP 	window1: blendMode = 'avg'
5.8630 	EXP 	window1: blendMode = 'avg'
5.8797 	EXP 	window1: blendMode = 'avg'
5.8963 	EXP 	window1: blendMode = 'avg'
5.9129 	EXP 	window1: blendMode = 'avg'
5.9295 	EXP 	window1: blendMode = 'avg'
5.9463 	EXP 	window1: blendMode = 'avg'
5.9629 	EXP 	window1: blendMode = 'avg'
5.9796 	EXP 	window1: blendMode = 'avg'
5.9963 	EXP 	window1: blendMode = 'avg'
6.0129 	EXP 	window1: blendMode = 'avg'
6.0296 	EXP 	window1: blendMode = 'avg'
6.0463 	EXP 	window1: blendMode = 'avg'
6.0629 	EXP 	window1: blendMode = 'avg'
6.0797 	EXP 	window1: blendMode = 'avg'
6.0963 	EXP 	window1: blendMode = 'avg'
6.1129 	EXP 	window1: blendMode = 'avg'
6.1296 	EXP 	window1: blendMode = 'avg'
6.1464 	DATA 	Keypress: space
6.1544 	EXP 	Imported numbers.xlsx as conditions, 6 conditions, 2 params
6.1547 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
6.1550 	EXP 	New trial (rep=0, index=0): {'number_two': 23, 'number_one': 7}
6.1644 	EXP 	window1: blendMode = 'avg'
6.1794 	EXP 	intro_text: autoDraw = False
6.1794 	EXP 	text_2: text = '7+23=30'
6.1794 	EXP 	text_2: autoDraw = True
6.1796 	EXP 	window1: blendMode = 'avg'
6.1963 	EXP 	window1: blendMode = 'avg'
6.2130 	EXP 	window1: blendMode = 'avg'
6.2296 	EXP 	window1: blendMode = 'avg'
6.2463 	EXP 	window1: blendMode = 'avg'
6.2630 	EXP 	window1: blendMode = 'avg'
6.2796 	EXP 	window1: blendMode = 'avg'
6.2963 	EXP 	window1: blendMode = 'avg'
6.3129 	EXP 	window1: blendMode = 'avg'
6.3296 	EXP 	window1: blendMode = 'avg'
6.3463 	EXP 	window1: blendMode = 'avg'
6.3630 	EXP 	window1: blendMode = 'avg'
6.3796 	EXP 	window1: blendMode = 'avg'
6.3962 	EXP 	window1: blendMode = 'avg'
6.4129 	EXP 	window1: blendMode = 'avg'
6.4296 	EXP 	window1: blendMode = 'avg'
6.4463 	EXP 	window1: blendMode = 'avg'
6.4629 	EXP 	window1: blendMode = 'avg'
6.4796 	EXP 	window1: blendMode = 'avg'
6.4963 	EXP 	window1: blendMode = 'avg'
6.5129 	EXP 	window1: blendMode = 'avg'
6.5296 	EXP 	window1: blendMode = 'avg'
6.5462 	EXP 	window1: blendMode = 'avg'
6.5629 	EXP 	window1: blendMode = 'avg'
6.5796 	EXP 	window1: blendMode = 'avg'
6.5962 	EXP 	window1: blendMode = 'avg'
6.6129 	EXP 	window1: blendMode = 'avg'
6.6296 	EXP 	window1: blendMode = 'avg'
6.6463 	EXP 	window1: blendMode = 'avg'
6.6629 	EXP 	window1: blendMode = 'avg'
6.6796 	EXP 	window1: blendMode = 'avg'
6.6963 	EXP 	window1: blendMode = 'avg'
6.7130 	EXP 	window1: blendMode = 'avg'
6.7296 	EXP 	window1: blendMode = 'avg'
6.7462 	EXP 	window1: blendMode = 'avg'
6.7629 	EXP 	window1: blendMode = 'avg'
6.7796 	EXP 	window1: blendMode = 'avg'
6.7962 	EXP 	window1: blendMode = 'avg'
6.8130 	EXP 	window1: blendMode = 'avg'
6.8297 	EXP 	window1: blendMode = 'avg'
6.8463 	EXP 	window1: blendMode = 'avg'
6.8629 	EXP 	window1: blendMode = 'avg'
6.8796 	EXP 	window1: blendMode = 'avg'
6.8962 	EXP 	window1: blendMode = 'avg'
6.9129 	EXP 	window1: blendMode = 'avg'
6.9296 	EXP 	window1: blendMode = 'avg'
6.9463 	EXP 	window1: blendMode = 'avg'
6.9629 	EXP 	window1: blendMode = 'avg'
6.9795 	EXP 	window1: blendMode = 'avg'
6.9962 	EXP 	window1: blendMode = 'avg'
7.0129 	EXP 	window1: blendMode = 'avg'
7.0296 	EXP 	window1: blendMode = 'avg'
7.0463 	EXP 	window1: blendMode = 'avg'
7.0630 	EXP 	window1: blendMode = 'avg'
7.0796 	EXP 	window1: blendMode = 'avg'
7.0963 	EXP 	window1: blendMode = 'avg'
7.1130 	EXP 	window1: blendMode = 'avg'
7.1296 	EXP 	window1: blendMode = 'avg'
7.1463 	EXP 	window1: blendMode = 'avg'
7.1629 	EXP 	window1: blendMode = 'avg'
7.1796 	EXP 	window1: blendMode = 'avg'
7.1963 	EXP 	window1: blendMode = 'avg'
7.2129 	EXP 	window1: blendMode = 'avg'
7.2296 	EXP 	window1: blendMode = 'avg'
7.2462 	EXP 	window1: blendMode = 'avg'
7.2629 	EXP 	window1: blendMode = 'avg'
7.2796 	EXP 	window1: blendMode = 'avg'
7.2962 	EXP 	window1: blendMode = 'avg'
7.3129 	EXP 	window1: blendMode = 'avg'
7.3296 	EXP 	window1: blendMode = 'avg'
7.3462 	EXP 	window1: blendMode = 'avg'
7.3629 	DATA 	Keypress: space
7.3632 	EXP 	New trial (rep=0, index=1): {'number_two': 2, 'number_one': 4}
7.3697 	EXP 	window1: blendMode = 'avg'
7.3794 	EXP 	text_2: autoDraw = False
7.3794 	EXP 	text_2: text = '4+2=6'
7.3794 	EXP 	text_2: autoDraw = True
7.3796 	EXP 	window1: blendMode = 'avg'
7.3962 	EXP 	window1: blendMode = 'avg'
7.4129 	EXP 	window1: blendMode = 'avg'
7.4296 	EXP 	window1: blendMode = 'avg'
7.4462 	EXP 	window1: blendMode = 'avg'
7.4630 	EXP 	window1: blendMode = 'avg'
7.4796 	EXP 	window1: blendMode = 'avg'
7.4962 	EXP 	window1: blendMode = 'avg'
7.5129 	EXP 	window1: blendMode = 'avg'
7.5301 	EXP 	window1: blendMode = 'avg'
7.5462 	EXP 	window1: blendMode = 'avg'
7.5629 	EXP 	window1: blendMode = 'avg'
7.5795 	EXP 	window1: blendMode = 'avg'
7.5962 	EXP 	window1: blendMode = 'avg'
7.6129 	EXP 	window1: blendMode = 'avg'
7.6296 	EXP 	window1: blendMode = 'avg'
7.6462 	EXP 	window1: blendMode = 'avg'
7.6629 	EXP 	window1: blendMode = 'avg'
7.6796 	EXP 	window1: blendMode = 'avg'
7.6962 	EXP 	window1: blendMode = 'avg'
7.7129 	EXP 	window1: blendMode = 'avg'
7.7296 	EXP 	window1: blendMode = 'avg'
7.7462 	EXP 	window1: blendMode = 'avg'
7.7629 	EXP 	window1: blendMode = 'avg'
7.7796 	EXP 	window1: blendMode = 'avg'
7.7962 	EXP 	window1: blendMode = 'avg'
7.8129 	EXP 	window1: blendMode = 'avg'
7.8297 	EXP 	window1: blendMode = 'avg'
7.8463 	EXP 	window1: blendMode = 'avg'
7.8629 	EXP 	window1: blendMode = 'avg'
7.8795 	EXP 	window1: blendMode = 'avg'
7.8962 	EXP 	window1: blendMode = 'avg'
7.9129 	EXP 	window1: blendMode = 'avg'
7.9296 	EXP 	window1: blendMode = 'avg'
7.9463 	EXP 	window1: blendMode = 'avg'
7.9631 	EXP 	window1: blendMode = 'avg'
7.9796 	EXP 	window1: blendMode = 'avg'
7.9963 	EXP 	window1: blendMode = 'avg'
8.0129 	EXP 	window1: blendMode = 'avg'
8.0296 	EXP 	window1: blendMode = 'avg'
