1.0951 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
3.4846 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x156ED170>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600, 1200]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.4846 	EXP 	window1: recordFrameIntervals = False
3.6508 	EXP 	window1: recordFrameIntervals = True
3.8342 	EXP 	window1: recordFrameIntervals = False
3.9536 	EXP 	Created start_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='start_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
3.9573 	EXP 	Created fixation_cross = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixation_cross', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
3.9665 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
3.9786 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'End of experiment', units=u'norm', win=Window(...), wrapWidth=1)
3.9798 	EXP 	window1: blendMode = 'avg'
3.9840 	EXP 	start_text: autoDraw = True
3.9844 	EXP 	window1: blendMode = 'avg'
4.0010 	EXP 	window1: blendMode = 'avg'
4.0177 	EXP 	window1: blendMode = 'avg'
4.0344 	EXP 	window1: blendMode = 'avg'
4.0510 	EXP 	window1: blendMode = 'avg'
4.0677 	EXP 	window1: blendMode = 'avg'
4.0843 	EXP 	window1: blendMode = 'avg'
4.1009 	EXP 	window1: blendMode = 'avg'
4.1177 	EXP 	window1: blendMode = 'avg'
4.1343 	EXP 	window1: blendMode = 'avg'
4.1510 	EXP 	window1: blendMode = 'avg'
4.1677 	EXP 	window1: blendMode = 'avg'
4.1843 	EXP 	window1: blendMode = 'avg'
4.2010 	EXP 	window1: blendMode = 'avg'
4.2177 	EXP 	window1: blendMode = 'avg'
4.2343 	EXP 	window1: blendMode = 'avg'
4.2510 	EXP 	window1: blendMode = 'avg'
4.2676 	EXP 	window1: blendMode = 'avg'
4.2843 	EXP 	window1: blendMode = 'avg'
4.3010 	EXP 	window1: blendMode = 'avg'
4.3176 	EXP 	window1: blendMode = 'avg'
4.3343 	EXP 	window1: blendMode = 'avg'
4.3510 	EXP 	window1: blendMode = 'avg'
4.3676 	EXP 	window1: blendMode = 'avg'
4.3843 	EXP 	window1: blendMode = 'avg'
4.4009 	EXP 	window1: blendMode = 'avg'
4.4176 	EXP 	window1: blendMode = 'avg'
4.4343 	EXP 	window1: blendMode = 'avg'
4.4509 	DATA 	Keypress: space
4.4640 	EXP 	Imported malenames.xlsx as conditions, 6 conditions, 1 params
4.4643 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
4.4646 	EXP 	New trial (rep=0, index=0): {'name': u'John'}
4.4651 	EXP 	window1: blendMode = 'avg'
4.4674 	EXP 	start_text: autoDraw = False
4.4674 	EXP 	fixation_cross: autoDraw = True
4.4676 	EXP 	window1: blendMode = 'avg'
4.4843 	EXP 	window1: blendMode = 'avg'
4.5009 	EXP 	window1: blendMode = 'avg'
4.5176 	EXP 	window1: blendMode = 'avg'
4.5344 	EXP 	window1: blendMode = 'avg'
4.5509 	EXP 	window1: blendMode = 'avg'
4.5676 	EXP 	window1: blendMode = 'avg'
4.5843 	EXP 	window1: blendMode = 'avg'
4.6009 	EXP 	window1: blendMode = 'avg'
4.6176 	EXP 	window1: blendMode = 'avg'
4.6343 	EXP 	window1: blendMode = 'avg'
4.6509 	EXP 	window1: blendMode = 'avg'
4.6676 	EXP 	window1: blendMode = 'avg'
4.6843 	EXP 	window1: blendMode = 'avg'
4.7009 	EXP 	window1: blendMode = 'avg'
4.7176 	EXP 	window1: blendMode = 'avg'
4.7343 	EXP 	window1: blendMode = 'avg'
4.7510 	EXP 	window1: blendMode = 'avg'
4.7676 	EXP 	window1: blendMode = 'avg'
4.7842 	EXP 	window1: blendMode = 'avg'
4.8009 	EXP 	window1: blendMode = 'avg'
4.8176 	EXP 	window1: blendMode = 'avg'
4.8343 	EXP 	window1: blendMode = 'avg'
4.8509 	EXP 	window1: blendMode = 'avg'
4.8676 	EXP 	window1: blendMode = 'avg'
4.8845 	EXP 	window1: blendMode = 'avg'
4.9012 	EXP 	window1: blendMode = 'avg'
4.9177 	EXP 	window1: blendMode = 'avg'
4.9343 	EXP 	window1: blendMode = 'avg'
4.9510 	EXP 	window1: blendMode = 'avg'
4.9677 	EXP 	window1: blendMode = 'avg'
4.9843 	EXP 	window1: blendMode = 'avg'
5.0009 	EXP 	window1: blendMode = 'avg'
5.0176 	EXP 	window1: blendMode = 'avg'
5.0343 	EXP 	window1: blendMode = 'avg'
5.0509 	EXP 	window1: blendMode = 'avg'
5.0676 	EXP 	window1: blendMode = 'avg'
5.0843 	EXP 	window1: blendMode = 'avg'
5.1009 	EXP 	window1: blendMode = 'avg'
5.1175 	EXP 	window1: blendMode = 'avg'
5.1343 	EXP 	window1: blendMode = 'avg'
5.1509 	EXP 	window1: blendMode = 'avg'
5.1676 	EXP 	window1: blendMode = 'avg'
5.1844 	EXP 	window1: blendMode = 'avg'
5.2009 	EXP 	window1: blendMode = 'avg'
5.2176 	EXP 	window1: blendMode = 'avg'
5.2343 	EXP 	window1: blendMode = 'avg'
5.2509 	EXP 	window1: blendMode = 'avg'
5.2676 	EXP 	window1: blendMode = 'avg'
5.2843 	EXP 	window1: blendMode = 'avg'
5.3009 	EXP 	window1: blendMode = 'avg'
5.3176 	EXP 	window1: blendMode = 'avg'
5.3344 	EXP 	window1: blendMode = 'avg'
5.3509 	EXP 	window1: blendMode = 'avg'
5.3676 	EXP 	window1: blendMode = 'avg'
5.3843 	EXP 	window1: blendMode = 'avg'
5.4009 	EXP 	window1: blendMode = 'avg'
5.4176 	EXP 	window1: blendMode = 'avg'
5.4343 	EXP 	window1: blendMode = 'avg'
5.4509 	EXP 	window1: blendMode = 'avg'
5.4736 	EXP 	window1: blendMode = 'avg'
5.4841 	EXP 	fixation_cross: autoDraw = False
5.4841 	EXP 	text_2: text = u'John'
5.4841 	EXP 	text_2: autoDraw = True
5.4843 	EXP 	window1: blendMode = 'avg'
5.5010 	EXP 	window1: blendMode = 'avg'
5.5176 	EXP 	window1: blendMode = 'avg'
5.5343 	EXP 	window1: blendMode = 'avg'
5.5509 	EXP 	window1: blendMode = 'avg'
5.5676 	EXP 	window1: blendMode = 'avg'
5.5843 	EXP 	window1: blendMode = 'avg'
5.6009 	EXP 	window1: blendMode = 'avg'
5.6176 	EXP 	window1: blendMode = 'avg'
5.6343 	EXP 	window1: blendMode = 'avg'
5.6509 	EXP 	window1: blendMode = 'avg'
5.6676 	EXP 	window1: blendMode = 'avg'
5.6843 	EXP 	window1: blendMode = 'avg'
5.7009 	EXP 	window1: blendMode = 'avg'
5.7176 	EXP 	window1: blendMode = 'avg'
5.7343 	EXP 	window1: blendMode = 'avg'
5.7511 	EXP 	window1: blendMode = 'avg'
5.7676 	EXP 	window1: blendMode = 'avg'
5.7842 	EXP 	window1: blendMode = 'avg'
5.8009 	EXP 	window1: blendMode = 'avg'
5.8176 	EXP 	window1: blendMode = 'avg'
5.8343 	EXP 	window1: blendMode = 'avg'
5.8509 	EXP 	window1: blendMode = 'avg'
5.8676 	EXP 	window1: blendMode = 'avg'
5.8843 	EXP 	window1: blendMode = 'avg'
5.9010 	EXP 	window1: blendMode = 'avg'
5.9176 	EXP 	window1: blendMode = 'avg'
5.9343 	EXP 	window1: blendMode = 'avg'
5.9509 	EXP 	window1: blendMode = 'avg'
5.9676 	EXP 	window1: blendMode = 'avg'
5.9843 	EXP 	window1: blendMode = 'avg'
6.0010 	EXP 	window1: blendMode = 'avg'
6.0177 	EXP 	window1: blendMode = 'avg'
6.0343 	EXP 	window1: blendMode = 'avg'
6.0509 	EXP 	window1: blendMode = 'avg'
6.0676 	EXP 	window1: blendMode = 'avg'
6.0843 	EXP 	window1: blendMode = 'avg'
6.1010 	EXP 	window1: blendMode = 'avg'
6.1177 	EXP 	window1: blendMode = 'avg'
6.1343 	EXP 	window1: blendMode = 'avg'
6.1510 	EXP 	window1: blendMode = 'avg'
6.1676 	EXP 	window1: blendMode = 'avg'
6.1843 	EXP 	window1: blendMode = 'avg'
6.2010 	EXP 	window1: blendMode = 'avg'
6.2176 	EXP 	window1: blendMode = 'avg'
6.2343 	EXP 	window1: blendMode = 'avg'
6.2510 	EXP 	window1: blendMode = 'avg'
6.2676 	EXP 	window1: blendMode = 'avg'
6.2843 	EXP 	window1: blendMode = 'avg'
6.3011 	EXP 	window1: blendMode = 'avg'
6.3176 	EXP 	window1: blendMode = 'avg'
6.3343 	EXP 	window1: blendMode = 'avg'
6.3510 	EXP 	window1: blendMode = 'avg'
6.3676 	EXP 	window1: blendMode = 'avg'
6.3842 	EXP 	window1: blendMode = 'avg'
6.4012 	EXP 	window1: blendMode = 'avg'
6.4179 	EXP 	window1: blendMode = 'avg'
6.4344 	EXP 	window1: blendMode = 'avg'
6.4510 	EXP 	window1: blendMode = 'avg'
6.4677 	EXP 	New trial (rep=0, index=1): {'name': u'Harry'}
6.4680 	EXP 	window1: blendMode = 'avg'
6.4841 	EXP 	text_2: autoDraw = False
6.4841 	EXP 	fixation_cross: autoDraw = True
6.4843 	EXP 	window1: blendMode = 'avg'
6.5011 	EXP 	window1: blendMode = 'avg'
6.5178 	EXP 	window1: blendMode = 'avg'
6.5345 	EXP 	window1: blendMode = 'avg'
6.5513 	EXP 	window1: blendMode = 'avg'
6.5677 	EXP 	window1: blendMode = 'avg'
6.5845 	EXP 	window1: blendMode = 'avg'
6.6011 	EXP 	window1: blendMode = 'avg'
6.6179 	EXP 	window1: blendMode = 'avg'
6.6345 	EXP 	window1: blendMode = 'avg'
6.6512 	EXP 	window1: blendMode = 'avg'
6.6678 	EXP 	window1: blendMode = 'avg'
6.6845 	EXP 	window1: blendMode = 'avg'
6.7011 	EXP 	window1: blendMode = 'avg'
6.7177 	EXP 	window1: blendMode = 'avg'
6.7344 	EXP 	window1: blendMode = 'avg'
6.7512 	EXP 	window1: blendMode = 'avg'
6.7678 	EXP 	window1: blendMode = 'avg'
6.7844 	EXP 	window1: blendMode = 'avg'
6.8010 	EXP 	window1: blendMode = 'avg'
6.8176 	EXP 	window1: blendMode = 'avg'
6.8343 	EXP 	window1: blendMode = 'avg'
6.8510 	EXP 	window1: blendMode = 'avg'
6.8676 	EXP 	window1: blendMode = 'avg'
6.8844 	EXP 	window1: blendMode = 'avg'
6.9010 	EXP 	window1: blendMode = 'avg'
6.9177 	EXP 	window1: blendMode = 'avg'
6.9343 	EXP 	window1: blendMode = 'avg'
6.9509 	EXP 	window1: blendMode = 'avg'
6.9676 	EXP 	window1: blendMode = 'avg'
6.9842 	EXP 	window1: blendMode = 'avg'
7.0010 	EXP 	window1: blendMode = 'avg'
7.0176 	EXP 	window1: blendMode = 'avg'
7.0343 	EXP 	window1: blendMode = 'avg'
7.0510 	EXP 	window1: blendMode = 'avg'
7.0678 	EXP 	window1: blendMode = 'avg'
7.0843 	EXP 	window1: blendMode = 'avg'
7.1010 	EXP 	window1: blendMode = 'avg'
7.1176 	EXP 	window1: blendMode = 'avg'
7.1343 	EXP 	window1: blendMode = 'avg'
7.1509 	EXP 	window1: blendMode = 'avg'
7.1676 	EXP 	window1: blendMode = 'avg'
7.1843 	EXP 	window1: blendMode = 'avg'
7.2010 	EXP 	window1: blendMode = 'avg'
7.2176 	EXP 	window1: blendMode = 'avg'
7.2343 	EXP 	window1: blendMode = 'avg'
7.2510 	EXP 	window1: blendMode = 'avg'
7.2676 	EXP 	window1: blendMode = 'avg'
7.2843 	EXP 	window1: blendMode = 'avg'
7.3009 	EXP 	window1: blendMode = 'avg'
7.3176 	EXP 	window1: blendMode = 'avg'
7.3343 	EXP 	window1: blendMode = 'avg'
7.3510 	EXP 	window1: blendMode = 'avg'
7.3676 	EXP 	window1: blendMode = 'avg'
7.3843 	EXP 	window1: blendMode = 'avg'
7.4010 	EXP 	window1: blendMode = 'avg'
7.4176 	EXP 	window1: blendMode = 'avg'
7.4342 	EXP 	window1: blendMode = 'avg'
7.4510 	EXP 	window1: blendMode = 'avg'
7.4736 	EXP 	window1: blendMode = 'avg'
7.4841 	EXP 	fixation_cross: autoDraw = False
