1.1464 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
3.8755 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x170312F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600, 1200]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.8756 	EXP 	window1: recordFrameIntervals = False
4.0418 	EXP 	window1: recordFrameIntervals = True
4.2253 	EXP 	window1: recordFrameIntervals = False
4.6660 	EXP 	Created start_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='start_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
4.6698 	EXP 	Created fixation_cross = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fixation_cross', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
4.6785 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
4.6916 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'End of experiment', units=u'norm', win=Window(...), wrapWidth=1)
4.6928 	EXP 	window1: blendMode = 'avg'
4.7084 	EXP 	start_text: autoDraw = True
4.7088 	EXP 	window1: blendMode = 'avg'
4.7254 	EXP 	window1: blendMode = 'avg'
4.7421 	EXP 	window1: blendMode = 'avg'
4.7587 	EXP 	window1: blendMode = 'avg'
4.7754 	EXP 	window1: blendMode = 'avg'
4.7920 	EXP 	window1: blendMode = 'avg'
4.8087 	EXP 	window1: blendMode = 'avg'
4.8253 	EXP 	window1: blendMode = 'avg'
4.8423 	EXP 	window1: blendMode = 'avg'
4.8590 	EXP 	window1: blendMode = 'avg'
4.8756 	EXP 	window1: blendMode = 'avg'
4.8921 	EXP 	window1: blendMode = 'avg'
4.9087 	EXP 	window1: blendMode = 'avg'
4.9254 	EXP 	window1: blendMode = 'avg'
4.9420 	EXP 	window1: blendMode = 'avg'
4.9587 	EXP 	window1: blendMode = 'avg'
4.9754 	EXP 	window1: blendMode = 'avg'
4.9920 	EXP 	window1: blendMode = 'avg'
5.0087 	EXP 	window1: blendMode = 'avg'
5.0253 	EXP 	window1: blendMode = 'avg'
5.0431 	EXP 	window1: blendMode = 'avg'
5.0587 	EXP 	window1: blendMode = 'avg'
5.0754 	EXP 	window1: blendMode = 'avg'
5.0920 	EXP 	window1: blendMode = 'avg'
5.1087 	EXP 	window1: blendMode = 'avg'
5.1254 	EXP 	window1: blendMode = 'avg'
5.1421 	EXP 	window1: blendMode = 'avg'
5.1588 	EXP 	window1: blendMode = 'avg'
5.1754 	EXP 	window1: blendMode = 'avg'
5.1922 	EXP 	window1: blendMode = 'avg'
5.2087 	EXP 	window1: blendMode = 'avg'
5.2254 	EXP 	window1: blendMode = 'avg'
5.2421 	EXP 	window1: blendMode = 'avg'
5.2587 	EXP 	window1: blendMode = 'avg'
5.2754 	DATA 	Keypress: space
5.3139 	EXP 	Imported malenames.xlsx as conditions, 6 conditions, 1 params
5.3142 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
5.3145 	EXP 	New trial (rep=0, index=0): {'name': u'Harry'}
5.3150 	EXP 	window1: blendMode = 'avg'
5.3251 	EXP 	start_text: autoDraw = False
5.3251 	EXP 	fixation_cross: autoDraw = True
5.3254 	EXP 	window1: blendMode = 'avg'
5.3421 	EXP 	window1: blendMode = 'avg'
5.3587 	EXP 	window1: blendMode = 'avg'
5.3756 	EXP 	window1: blendMode = 'avg'
5.3920 	EXP 	window1: blendMode = 'avg'
5.4087 	EXP 	window1: blendMode = 'avg'
5.4254 	EXP 	window1: blendMode = 'avg'
5.4420 	EXP 	window1: blendMode = 'avg'
5.4587 	EXP 	window1: blendMode = 'avg'
5.4754 	EXP 	window1: blendMode = 'avg'
5.4920 	EXP 	window1: blendMode = 'avg'
5.5087 	EXP 	window1: blendMode = 'avg'
5.5254 	EXP 	window1: blendMode = 'avg'
5.5420 	EXP 	window1: blendMode = 'avg'
5.5587 	EXP 	window1: blendMode = 'avg'
5.5754 	EXP 	window1: blendMode = 'avg'
5.5922 	EXP 	window1: blendMode = 'avg'
5.6088 	EXP 	window1: blendMode = 'avg'
5.6253 	EXP 	window1: blendMode = 'avg'
5.6421 	EXP 	window1: blendMode = 'avg'
5.6587 	EXP 	window1: blendMode = 'avg'
5.6754 	EXP 	window1: blendMode = 'avg'
5.6920 	EXP 	window1: blendMode = 'avg'
5.7087 	EXP 	window1: blendMode = 'avg'
5.7254 	EXP 	window1: blendMode = 'avg'
5.7420 	EXP 	window1: blendMode = 'avg'
5.7587 	EXP 	window1: blendMode = 'avg'
5.7754 	EXP 	window1: blendMode = 'avg'
5.7920 	EXP 	window1: blendMode = 'avg'
5.8087 	EXP 	window1: blendMode = 'avg'
5.8253 	EXP 	window1: blendMode = 'avg'
5.8420 	EXP 	window1: blendMode = 'avg'
5.8587 	EXP 	window1: blendMode = 'avg'
5.8753 	EXP 	window1: blendMode = 'avg'
5.8920 	EXP 	window1: blendMode = 'avg'
5.9087 	EXP 	window1: blendMode = 'avg'
5.9253 	EXP 	window1: blendMode = 'avg'
5.9419 	EXP 	window1: blendMode = 'avg'
5.9587 	EXP 	window1: blendMode = 'avg'
5.9754 	EXP 	window1: blendMode = 'avg'
5.9920 	EXP 	window1: blendMode = 'avg'
6.0087 	EXP 	window1: blendMode = 'avg'
6.0253 	EXP 	window1: blendMode = 'avg'
6.0420 	EXP 	window1: blendMode = 'avg'
6.0587 	EXP 	window1: blendMode = 'avg'
6.0753 	EXP 	window1: blendMode = 'avg'
6.0920 	EXP 	window1: blendMode = 'avg'
6.1087 	EXP 	window1: blendMode = 'avg'
6.1253 	EXP 	window1: blendMode = 'avg'
6.1421 	EXP 	window1: blendMode = 'avg'
6.1588 	EXP 	window1: blendMode = 'avg'
6.1754 	EXP 	window1: blendMode = 'avg'
6.1921 	EXP 	window1: blendMode = 'avg'
6.2087 	EXP 	window1: blendMode = 'avg'
6.2254 	EXP 	window1: blendMode = 'avg'
6.2420 	EXP 	window1: blendMode = 'avg'
6.2587 	EXP 	window1: blendMode = 'avg'
6.2754 	EXP 	window1: blendMode = 'avg'
6.2986 	EXP 	window1: blendMode = 'avg'
6.3084 	EXP 	fixation_cross: autoDraw = False
6.3084 	EXP 	text_2: text = u'Harry'
6.3084 	EXP 	text_2: autoDraw = True
6.3087 	EXP 	window1: blendMode = 'avg'
6.3254 	EXP 	window1: blendMode = 'avg'
6.3421 	EXP 	window1: blendMode = 'avg'
6.3587 	EXP 	window1: blendMode = 'avg'
6.3754 	EXP 	window1: blendMode = 'avg'
6.3921 	EXP 	window1: blendMode = 'avg'
6.4087 	EXP 	window1: blendMode = 'avg'
6.4254 	EXP 	window1: blendMode = 'avg'
6.4420 	EXP 	window1: blendMode = 'avg'
6.4587 	EXP 	window1: blendMode = 'avg'
6.4754 	EXP 	window1: blendMode = 'avg'
6.4921 	EXP 	window1: blendMode = 'avg'
6.5087 	EXP 	window1: blendMode = 'avg'
6.5254 	EXP 	window1: blendMode = 'avg'
6.5420 	EXP 	window1: blendMode = 'avg'
6.5587 	EXP 	window1: blendMode = 'avg'
6.5754 	EXP 	window1: blendMode = 'avg'
6.5922 	EXP 	window1: blendMode = 'avg'
6.6087 	EXP 	window1: blendMode = 'avg'
6.6254 	EXP 	window1: blendMode = 'avg'
6.6421 	EXP 	window1: blendMode = 'avg'
6.6588 	EXP 	window1: blendMode = 'avg'
6.6754 	EXP 	window1: blendMode = 'avg'
6.6921 	EXP 	window1: blendMode = 'avg'
6.7087 	EXP 	window1: blendMode = 'avg'
6.7254 	EXP 	window1: blendMode = 'avg'
6.7421 	EXP 	window1: blendMode = 'avg'
6.7588 	EXP 	window1: blendMode = 'avg'
6.7754 	EXP 	window1: blendMode = 'avg'
6.7920 	EXP 	window1: blendMode = 'avg'
6.8087 	EXP 	window1: blendMode = 'avg'
6.8254 	EXP 	window1: blendMode = 'avg'
6.8420 	EXP 	window1: blendMode = 'avg'
6.8588 	EXP 	window1: blendMode = 'avg'
6.8754 	EXP 	window1: blendMode = 'avg'
6.8921 	EXP 	window1: blendMode = 'avg'
6.9087 	EXP 	window1: blendMode = 'avg'
6.9253 	EXP 	window1: blendMode = 'avg'
6.9420 	EXP 	window1: blendMode = 'avg'
6.9587 	EXP 	window1: blendMode = 'avg'
6.9754 	EXP 	window1: blendMode = 'avg'
6.9921 	EXP 	window1: blendMode = 'avg'
7.0087 	EXP 	window1: blendMode = 'avg'
7.0254 	EXP 	window1: blendMode = 'avg'
7.0420 	EXP 	window1: blendMode = 'avg'
7.0588 	EXP 	window1: blendMode = 'avg'
7.0755 	EXP 	window1: blendMode = 'avg'
7.0920 	EXP 	window1: blendMode = 'avg'
7.1087 	EXP 	window1: blendMode = 'avg'
7.1253 	EXP 	window1: blendMode = 'avg'
7.1420 	EXP 	window1: blendMode = 'avg'
7.1589 	EXP 	window1: blendMode = 'avg'
7.1754 	EXP 	window1: blendMode = 'avg'
7.1920 	EXP 	window1: blendMode = 'avg'
7.2088 	EXP 	window1: blendMode = 'avg'
7.2254 	EXP 	window1: blendMode = 'avg'
7.2421 	EXP 	window1: blendMode = 'avg'
7.2587 	EXP 	window1: blendMode = 'avg'
7.2755 	EXP 	window1: blendMode = 'avg'
7.2921 	EXP 	New trial (rep=0, index=1): {'name': u'Garry'}
7.2924 	EXP 	window1: blendMode = 'avg'
7.3085 	EXP 	text_2: autoDraw = False
7.3085 	EXP 	fixation_cross: autoDraw = True
7.3087 	EXP 	window1: blendMode = 'avg'
7.3254 	EXP 	window1: blendMode = 'avg'
7.3420 	EXP 	window1: blendMode = 'avg'
7.3587 	EXP 	window1: blendMode = 'avg'
7.3754 	EXP 	window1: blendMode = 'avg'
7.3920 	EXP 	window1: blendMode = 'avg'
7.4087 	EXP 	window1: blendMode = 'avg'
7.4253 	EXP 	window1: blendMode = 'avg'
7.4420 	EXP 	window1: blendMode = 'avg'
7.4587 	EXP 	window1: blendMode = 'avg'
7.4754 	EXP 	window1: blendMode = 'avg'
7.4920 	EXP 	window1: blendMode = 'avg'
7.5087 	EXP 	window1: blendMode = 'avg'
7.5254 	EXP 	window1: blendMode = 'avg'
7.5420 	EXP 	window1: blendMode = 'avg'
7.5587 	EXP 	window1: blendMode = 'avg'
7.5754 	EXP 	window1: blendMode = 'avg'
7.5921 	EXP 	window1: blendMode = 'avg'
7.6087 	EXP 	window1: blendMode = 'avg'
7.6254 	EXP 	window1: blendMode = 'avg'
7.6420 	EXP 	window1: blendMode = 'avg'
7.6587 	EXP 	window1: blendMode = 'avg'
7.6754 	EXP 	window1: blendMode = 'avg'
7.6920 	EXP 	window1: blendMode = 'avg'
7.7088 	EXP 	window1: blendMode = 'avg'
7.7253 	EXP 	window1: blendMode = 'avg'
7.7420 	EXP 	window1: blendMode = 'avg'
7.7587 	EXP 	window1: blendMode = 'avg'
7.7754 	EXP 	window1: blendMode = 'avg'
7.7920 	EXP 	window1: blendMode = 'avg'
7.8087 	EXP 	window1: blendMode = 'avg'
7.8254 	EXP 	window1: blendMode = 'avg'
7.8421 	EXP 	window1: blendMode = 'avg'
7.8587 	EXP 	window1: blendMode = 'avg'
7.8754 	EXP 	window1: blendMode = 'avg'
7.8920 	EXP 	window1: blendMode = 'avg'
7.9087 	EXP 	window1: blendMode = 'avg'
7.9254 	EXP 	window1: blendMode = 'avg'
7.9420 	EXP 	window1: blendMode = 'avg'
7.9586 	EXP 	window1: blendMode = 'avg'
7.9754 	EXP 	window1: blendMode = 'avg'
7.9920 	EXP 	window1: blendMode = 'avg'
8.0087 	EXP 	window1: blendMode = 'avg'
8.0253 	EXP 	window1: blendMode = 'avg'
8.0420 	EXP 	window1: blendMode = 'avg'
8.0589 	EXP 	window1: blendMode = 'avg'
8.0754 	EXP 	window1: blendMode = 'avg'
8.0920 	EXP 	window1: blendMode = 'avg'
8.1087 	EXP 	window1: blendMode = 'avg'
8.1254 	EXP 	window1: blendMode = 'avg'
8.1420 	EXP 	window1: blendMode = 'avg'
8.1589 	EXP 	window1: blendMode = 'avg'
8.1754 	EXP 	window1: blendMode = 'avg'
8.1920 	EXP 	window1: blendMode = 'avg'
8.2088 	EXP 	window1: blendMode = 'avg'
8.2254 	EXP 	window1: blendMode = 'avg'
8.2421 	EXP 	window1: blendMode = 'avg'
