1.0985 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
3.7598 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x158390F0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1600, 1200]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.7599 	EXP 	window1: recordFrameIntervals = False
3.9261 	EXP 	window1: recordFrameIntervals = True
4.1094 	EXP 	window1: recordFrameIntervals = False
4.2715 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='DarkBlue', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([   0.,    0.,  139.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
4.2947 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
4.3123 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'End of experiment', units=u'norm', win=Window(...), wrapWidth=1)
4.3132 	EXP 	window1: blendMode = 'avg'
4.3259 	EXP 	text: autoDraw = True
4.3262 	EXP 	window1: blendMode = 'avg'
4.3429 	EXP 	window1: blendMode = 'avg'
4.3597 	EXP 	window1: blendMode = 'avg'
4.3762 	EXP 	window1: blendMode = 'avg'
4.3929 	EXP 	window1: blendMode = 'avg'
4.4095 	EXP 	window1: blendMode = 'avg'
4.4262 	EXP 	window1: blendMode = 'avg'
4.4428 	EXP 	window1: blendMode = 'avg'
4.4596 	EXP 	window1: blendMode = 'avg'
4.4762 	EXP 	window1: blendMode = 'avg'
4.4929 	EXP 	window1: blendMode = 'avg'
4.5096 	EXP 	window1: blendMode = 'avg'
4.5262 	EXP 	window1: blendMode = 'avg'
4.5429 	EXP 	window1: blendMode = 'avg'
4.5595 	EXP 	window1: blendMode = 'avg'
4.5762 	EXP 	window1: blendMode = 'avg'
4.5929 	EXP 	window1: blendMode = 'avg'
4.6096 	EXP 	window1: blendMode = 'avg'
4.6262 	EXP 	window1: blendMode = 'avg'
4.6429 	EXP 	window1: blendMode = 'avg'
4.6597 	EXP 	window1: blendMode = 'avg'
4.6762 	EXP 	window1: blendMode = 'avg'
4.6929 	EXP 	window1: blendMode = 'avg'
4.7095 	EXP 	window1: blendMode = 'avg'
4.7262 	EXP 	window1: blendMode = 'avg'
4.7430 	EXP 	window1: blendMode = 'avg'
4.7596 	EXP 	window1: blendMode = 'avg'
4.7762 	EXP 	window1: blendMode = 'avg'
4.7928 	EXP 	window1: blendMode = 'avg'
4.8095 	EXP 	window1: blendMode = 'avg'
4.8262 	EXP 	window1: blendMode = 'avg'
4.8429 	EXP 	window1: blendMode = 'avg'
4.8597 	EXP 	window1: blendMode = 'avg'
4.8765 	EXP 	window1: blendMode = 'avg'
4.8931 	EXP 	window1: blendMode = 'avg'
4.9098 	EXP 	window1: blendMode = 'avg'
4.9262 	EXP 	window1: blendMode = 'avg'
4.9429 	EXP 	window1: blendMode = 'avg'
4.9596 	EXP 	window1: blendMode = 'avg'
4.9764 	EXP 	window1: blendMode = 'avg'
4.9929 	EXP 	window1: blendMode = 'avg'
5.0096 	EXP 	window1: blendMode = 'avg'
5.0262 	EXP 	window1: blendMode = 'avg'
5.0429 	EXP 	window1: blendMode = 'avg'
5.0595 	EXP 	window1: blendMode = 'avg'
5.0762 	EXP 	window1: blendMode = 'avg'
5.0929 	EXP 	window1: blendMode = 'avg'
5.1095 	EXP 	window1: blendMode = 'avg'
5.1262 	EXP 	window1: blendMode = 'avg'
5.1429 	EXP 	window1: blendMode = 'avg'
5.1595 	EXP 	window1: blendMode = 'avg'
5.1762 	EXP 	window1: blendMode = 'avg'
5.1929 	EXP 	window1: blendMode = 'avg'
5.2095 	EXP 	window1: blendMode = 'avg'
5.2262 	EXP 	window1: blendMode = 'avg'
5.2429 	EXP 	window1: blendMode = 'avg'
5.2595 	EXP 	window1: blendMode = 'avg'
5.2762 	EXP 	window1: blendMode = 'avg'
5.2929 	EXP 	window1: blendMode = 'avg'
5.3096 	EXP 	window1: blendMode = 'avg'
5.3262 	EXP 	window1: blendMode = 'avg'
5.3428 	EXP 	window1: blendMode = 'avg'
5.3596 	EXP 	window1: blendMode = 'avg'
5.3763 	EXP 	window1: blendMode = 'avg'
5.3929 	EXP 	window1: blendMode = 'avg'
5.4096 	EXP 	window1: blendMode = 'avg'
5.4262 	EXP 	window1: blendMode = 'avg'
5.4429 	EXP 	window1: blendMode = 'avg'
5.4596 	EXP 	window1: blendMode = 'avg'
5.4762 	EXP 	window1: blendMode = 'avg'
5.4929 	EXP 	window1: blendMode = 'avg'
5.5095 	EXP 	window1: blendMode = 'avg'
5.5262 	EXP 	window1: blendMode = 'avg'
5.5429 	EXP 	window1: blendMode = 'avg'
5.5595 	EXP 	window1: blendMode = 'avg'
5.5762 	EXP 	window1: blendMode = 'avg'
5.5929 	EXP 	window1: blendMode = 'avg'
5.6095 	EXP 	window1: blendMode = 'avg'
5.6262 	EXP 	window1: blendMode = 'avg'
5.6429 	EXP 	window1: blendMode = 'avg'
5.6598 	EXP 	window1: blendMode = 'avg'
5.6763 	EXP 	window1: blendMode = 'avg'
5.6929 	EXP 	window1: blendMode = 'avg'
5.7097 	EXP 	window1: blendMode = 'avg'
5.7262 	EXP 	window1: blendMode = 'avg'
5.7429 	EXP 	window1: blendMode = 'avg'
5.7595 	EXP 	window1: blendMode = 'avg'
5.7762 	EXP 	window1: blendMode = 'avg'
5.7929 	EXP 	window1: blendMode = 'avg'
5.8095 	EXP 	window1: blendMode = 'avg'
5.8262 	EXP 	window1: blendMode = 'avg'
5.8428 	EXP 	window1: blendMode = 'avg'
5.8596 	EXP 	window1: blendMode = 'avg'
5.8762 	EXP 	window1: blendMode = 'avg'
5.8929 	EXP 	window1: blendMode = 'avg'
5.9095 	EXP 	window1: blendMode = 'avg'
5.9262 	EXP 	window1: blendMode = 'avg'
5.9429 	EXP 	window1: blendMode = 'avg'
5.9595 	EXP 	window1: blendMode = 'avg'
5.9764 	EXP 	window1: blendMode = 'avg'
5.9929 	EXP 	window1: blendMode = 'avg'
6.0096 	EXP 	window1: blendMode = 'avg'
6.0262 	EXP 	window1: blendMode = 'avg'
6.0429 	EXP 	window1: blendMode = 'avg'
6.0595 	EXP 	window1: blendMode = 'avg'
6.0762 	EXP 	window1: blendMode = 'avg'
6.0929 	EXP 	window1: blendMode = 'avg'
6.1096 	EXP 	window1: blendMode = 'avg'
6.1262 	EXP 	window1: blendMode = 'avg'
6.1429 	EXP 	window1: blendMode = 'avg'
6.1595 	EXP 	window1: blendMode = 'avg'
6.1762 	EXP 	window1: blendMode = 'avg'
6.1929 	EXP 	window1: blendMode = 'avg'
6.2096 	EXP 	window1: blendMode = 'avg'
6.2262 	EXP 	window1: blendMode = 'avg'
6.2429 	EXP 	window1: blendMode = 'avg'
6.2595 	EXP 	window1: blendMode = 'avg'
6.2762 	EXP 	window1: blendMode = 'avg'
6.2929 	EXP 	window1: blendMode = 'avg'
6.3095 	EXP 	window1: blendMode = 'avg'
6.3262 	EXP 	window1: blendMode = 'avg'
6.3428 	EXP 	window1: blendMode = 'avg'
6.3596 	EXP 	window1: blendMode = 'avg'
6.3762 	EXP 	window1: blendMode = 'avg'
6.3929 	EXP 	window1: blendMode = 'avg'
6.4096 	EXP 	window1: blendMode = 'avg'
6.4262 	EXP 	window1: blendMode = 'avg'
6.4429 	EXP 	window1: blendMode = 'avg'
6.4595 	EXP 	window1: blendMode = 'avg'
6.4762 	EXP 	window1: blendMode = 'avg'
6.4929 	EXP 	window1: blendMode = 'avg'
6.5095 	EXP 	window1: blendMode = 'avg'
6.5262 	EXP 	window1: blendMode = 'avg'
6.5429 	EXP 	window1: blendMode = 'avg'
6.5595 	EXP 	window1: blendMode = 'avg'
6.5762 	EXP 	window1: blendMode = 'avg'
6.5929 	EXP 	window1: blendMode = 'avg'
6.6095 	EXP 	window1: blendMode = 'avg'
6.6262 	EXP 	window1: blendMode = 'avg'
6.6429 	EXP 	window1: blendMode = 'avg'
6.6597 	EXP 	window1: blendMode = 'avg'
6.6762 	EXP 	window1: blendMode = 'avg'
6.6929 	EXP 	window1: blendMode = 'avg'
6.7096 	EXP 	window1: blendMode = 'avg'
6.7262 	EXP 	window1: blendMode = 'avg'
6.7428 	EXP 	window1: blendMode = 'avg'
6.7595 	EXP 	window1: blendMode = 'avg'
6.7762 	EXP 	window1: blendMode = 'avg'
6.7928 	EXP 	window1: blendMode = 'avg'
6.8095 	EXP 	window1: blendMode = 'avg'
6.8262 	EXP 	window1: blendMode = 'avg'
6.8429 	EXP 	window1: blendMode = 'avg'
6.8595 	EXP 	window1: blendMode = 'avg'
6.8763 	EXP 	window1: blendMode = 'avg'
6.8930 	EXP 	window1: blendMode = 'avg'
6.9095 	EXP 	window1: blendMode = 'avg'
6.9263 	EXP 	window1: blendMode = 'avg'
6.9429 	EXP 	window1: blendMode = 'avg'
6.9595 	EXP 	window1: blendMode = 'avg'
6.9762 	EXP 	window1: blendMode = 'avg'
6.9929 	EXP 	window1: blendMode = 'avg'
7.0096 	EXP 	window1: blendMode = 'avg'
7.0262 	EXP 	window1: blendMode = 'avg'
7.0429 	EXP 	window1: blendMode = 'avg'
7.0596 	EXP 	window1: blendMode = 'avg'
7.0762 	EXP 	window1: blendMode = 'avg'
7.0929 	EXP 	window1: blendMode = 'avg'
7.1096 	EXP 	window1: blendMode = 'avg'
7.1262 	EXP 	window1: blendMode = 'avg'
7.1429 	EXP 	window1: blendMode = 'avg'
7.1595 	EXP 	window1: blendMode = 'avg'
7.1762 	EXP 	window1: blendMode = 'avg'
7.1929 	EXP 	window1: blendMode = 'avg'
7.2095 	EXP 	window1: blendMode = 'avg'
7.2262 	EXP 	window1: blendMode = 'avg'
7.2429 	EXP 	window1: blendMode = 'avg'
7.2595 	EXP 	window1: blendMode = 'avg'
7.2762 	EXP 	window1: blendMode = 'avg'
7.2929 	EXP 	window1: blendMode = 'avg'
7.3096 	EXP 	window1: blendMode = 'avg'
7.3262 	EXP 	window1: blendMode = 'avg'
7.3429 	EXP 	window1: blendMode = 'avg'
7.3596 	EXP 	window1: blendMode = 'avg'
7.3762 	EXP 	window1: blendMode = 'avg'
7.3929 	EXP 	window1: blendMode = 'avg'
7.4096 	EXP 	window1: blendMode = 'avg'
7.4262 	EXP 	window1: blendMode = 'avg'
7.4429 	EXP 	window1: blendMode = 'avg'
7.4595 	EXP 	window1: blendMode = 'avg'
7.4762 	EXP 	window1: blendMode = 'avg'
7.4929 	EXP 	window1: blendMode = 'avg'
7.5096 	EXP 	window1: blendMode = 'avg'
7.5262 	EXP 	window1: blendMode = 'avg'
7.5429 	EXP 	window1: blendMode = 'avg'
7.5596 	EXP 	window1: blendMode = 'avg'
7.5763 	EXP 	window1: blendMode = 'avg'
7.5929 	EXP 	window1: blendMode = 'avg'
7.6095 	EXP 	window1: blendMode = 'avg'
7.6262 	EXP 	window1: blendMode = 'avg'
7.6429 	EXP 	window1: blendMode = 'avg'
7.6597 	EXP 	window1: blendMode = 'avg'
7.6762 	EXP 	window1: blendMode = 'avg'
7.6928 	EXP 	window1: blendMode = 'avg'
7.7096 	EXP 	window1: blendMode = 'avg'
7.7262 	EXP 	window1: blendMode = 'avg'
7.7429 	EXP 	window1: blendMode = 'avg'
7.7595 	EXP 	window1: blendMode = 'avg'
7.7762 	EXP 	window1: blendMode = 'avg'
7.7929 	EXP 	window1: blendMode = 'avg'
7.8095 	EXP 	window1: blendMode = 'avg'
7.8262 	EXP 	window1: blendMode = 'avg'
7.8429 	EXP 	window1: blendMode = 'avg'
7.8596 	EXP 	window1: blendMode = 'avg'
7.8762 	EXP 	window1: blendMode = 'avg'
7.8929 	EXP 	window1: blendMode = 'avg'
7.9096 	EXP 	window1: blendMode = 'avg'
7.9262 	EXP 	window1: blendMode = 'avg'
7.9429 	EXP 	window1: blendMode = 'avg'
7.9595 	EXP 	window1: blendMode = 'avg'
7.9762 	EXP 	window1: blendMode = 'avg'
7.9929 	EXP 	window1: blendMode = 'avg'
8.0096 	EXP 	window1: blendMode = 'avg'
8.0262 	EXP 	window1: blendMode = 'avg'
8.0429 	EXP 	window1: blendMode = 'avg'
8.0596 	EXP 	window1: blendMode = 'avg'
8.0763 	EXP 	window1: blendMode = 'avg'
8.0929 	EXP 	window1: blendMode = 'avg'
8.1096 	EXP 	window1: blendMode = 'avg'
8.1262 	EXP 	window1: blendMode = 'avg'
8.1429 	EXP 	window1: blendMode = 'avg'
8.1595 	EXP 	window1: blendMode = 'avg'
8.1762 	EXP 	window1: blendMode = 'avg'
8.1929 	EXP 	window1: blendMode = 'avg'
